Date,Original,Spline,Linear
5/18/2023,,8837.5,8837.509941
5/19/2023,8900,8900,8900
5/20/2023,,8933.333333,8933.270312
5/21/2023,,8966.666667,8966.605909
5/22/2023,9000,9000,9000
5/23/2023,9050,9050,9050
5/24/2023,9200,9200,9200
5/25/2023,9100,9100,9100
5/26/2023,9175,9175,9175
5/27/2023,,9200,9199.805298
5/28/2023,,9225,9224.800131
5/29/2023,9250,9250,9250
5/30/2023,9200,9200,9200
5/31/2023,9300,9300,9300
6/1/2023,,9270,9269.753563
6/2/2023,,9240,9239.764066
6/3/2023,,9210,9209.774569
6/4/2023,,9180,9179.785072
6/5/2023,9150,9150,9150
6/6/2023,9050,9050,9050
6/7/2023,9125,9125,9125
6/8/2023,9075,9075,9075
6/9/2023,9175,9175,9175
6/10/2023,,9166.666667,9166.540708
6/11/2023,,9158.333333,9158.349485
6/12/2023,9150,9150,9150
6/13/2023,9175,9175,9175
6/14/2023,9100,9100,9100
6/15/2023,9100,9100,9100
6/16/2023,9100,9100,9100
6/17/2023,,9066.666667,9066.654893
6/18/2023,,9033.333333,9033.366472
6/19/2023,9000,9000,9000
6/20/2023,9025,9025,9025
6/21/2023,9050,9050,9050
6/22/2023,9125,9125,9125
6/23/2023,9025,9025,9025
6/24/2023,,9025,9025.18445
6/25/2023,,9025,9025.105181
6/26/2023,9025,9025,9025
6/27/2023,9050,9050,9050
6/28/2023,,9045.833333,9045.829869
6/29/2023,,9041.666667,9041.730794
6/30/2023,,9037.5,9037.631719
7/1/2023,,9033.333333,9033.532644
7/2/2023,,9029.166667,9029.433569
7/3/2023,9025,9025,9025
7/4/2023,9150,9150,9150
7/5/2023,9050,9050,9050
7/6/2023,9050,9050,9050
7/7/2023,9025,9025,9025
7/8/2023,,9050,9050.050775
7/9/2023,,9075,9075.013989
7/10/2023,9100,9100,9100
7/11/2023,9100,9100,9100
7/12/2023,9075,9075,9075
7/13/2023,9200,9200,9200
7/14/2023,9175,9175,9175
7/15/2023,,9183.333333,9183.453999
7/16/2023,,9191.666667,9191.735261
7/17/2023,9200,9200,9200
7/18/2023,9200,9200,9200
7/19/2023,,9200,9199.934252
7/20/2023,9200,9200,9200
7/21/2023,9150,9150,9150
7/22/2023,,9166.666667,9166.725932
7/23/2023,,9183.333333,9183.317112
7/24/2023,9200,9200,9200
7/25/2023,9175,9175,9175
7/26/2023,9175,9175,9175
7/27/2023,9400,9400,9400
7/28/2023,9200,9200,9200
7/29/2023,,9191.666667,9192.708887
7/30/2023,,9183.333333,9185.788631
7/31/2023,9175,9175,9175
8/1/2023,9175,9175,9175
8/2/2023,9125,9125,9125
8/3/2023,9150,9150,9150
8/4/2023,9250,9250,9250
8/5/2023,,9216.666667,9216.598638
8/6/2023,,9183.333333,9183.466509
8/7/2023,9150,9150,9150
8/8/2023,9275,9275,9275
8/9/2023,9275,9275,9275
8/10/2023,9400,9400,9400
8/11/2023,9425,9425,9425
8/12/2023,,9391.666667,9391.70657
8/13/2023,,9358.333333,9358.404246
8/14/2023,9325,9325,9325
8/15/2023,9325,9325,9325
8/16/2023,9275,9275,9275
8/17/2023,,9262.5,9263.202197
8/18/2023,9250,9250,9250
8/19/2023,,9241.666667,9243.314136
8/20/2023,,9233.333333,9233.370106
8/21/2023,9225,9225,9225
8/22/2023,9150,9150,9150
8/23/2023,9300,9300,9300
8/24/2023,9250,9250,9250
8/25/2023,9200,9200,9200
8/26/2023,,9216.666667,9216.714867
8/27/2023,,9233.333333,9233.352831
8/28/2023,9250,9250,9250
8/29/2023,9275,9275,9275
8/30/2023,9300,9300,9300
8/31/2023,9200,9200,9200
9/1/2023,9200,9200,9200
9/2/2023,,9208.333333,9210.665729
9/3/2023,,9216.666667,9217.369666
9/4/2023,9225,9225,9225
9/5/2023,9250,9250,9250
9/6/2023,9200,9200,9200
9/7/2023,9125,9125,9125
9/8/2023,9100,9100,9100
9/9/2023,,9091.666667,9091.67742
9/10/2023,,9083.333333,9083.38879
9/11/2023,9075,9075,9075
9/12/2023,9100,9100,9100
9/13/2023,9050,9050,9050
9/14/2023,9000,9000,9000
9/15/2023,9050,9050,9050
9/16/2023,,9050,9049.846037
9/17/2023,,9050,9049.824289
9/18/2023,9050,9050,9050
9/19/2023,9000,9000,9000
9/20/2023,9125,9125,9125
9/21/2023,9125,9125,9125
9/22/2023,9125,9125,9125
9/23/2023,,9108.333333,9108.387153
9/24/2023,,9091.666667,9091.672654
9/25/2023,9075,9075,9075
9/26/2023,9000,9000,9000
9/27/2023,8900,8900,8900
9/28/2023,,8862.5,8862.525788
9/29/2023,8825,8825,8825
9/30/2023,,8850,8850.050392
10/1/2023,,8875,8875.126346
10/2/2023,8900,8900,8900
10/3/2023,9075,9075,9075
10/4/2023,9200,9200,9200
10/5/2023,9200,9200,9200
10/6/2023,9100,9100,9100
10/7/2023,,9075,9075.124833
10/8/2023,,9050,9050.073105
10/9/2023,9025,9025,9025
10/10/2023,9000,9000,9000
10/11/2023,8925,8925,8925
10/12/2023,9000,9000,9000
10/13/2023,9100,9100,9100
10/14/2023,,9108.333333,9108.253665
10/15/2023,,9116.666667,9116.613195
10/16/2023,9125,9125,9125
10/17/2023,9050,9050,9050
10/18/2023,8925,8925,8925
10/19/2023,8825,8825,8825
10/20/2023,8725,8725,8725
10/21/2023,,8775,8775.029213
10/22/2023,,8825,8824.838349
10/23/2023,8875,8875,8875
10/24/2023,8775,8775,8775
10/25/2023,8825,8825,8825
10/26/2023,8925,8925,8925
10/27/2023,8725,8725,8725
10/28/2023,,8716.666667,8717.039129
10/29/2023,,8708.333333,8708.621199
10/30/2023,8700,8700,8700
10/31/2023,8800,8800,8800
11/1/2023,8750,8750,8750
11/2/2023,8725,8725,8725
11/3/2023,8925,8925,8925
11/4/2023,,8941.666667,8942.040958
11/5/2023,,8958.333333,8960.407138
11/6/2023,8975,8975,8975
11/7/2023,9000,9000,9000
11/8/2023,8950,8950,8950
11/9/2023,8900,8900,8900
11/10/2023,8950,8950,8950
11/11/2023,,8925,8924.885063
11/12/2023,,8900,8899.960883
11/13/2023,8875,8875,8875
11/14/2023,8900,8900,8900
11/15/2023,8975,8975,8975
11/16/2023,9050,9050,9050
11/17/2023,9025,9025,9025
11/18/2023,,9008.333333,9008.34198
11/19/2023,,8991.666667,8991.547284
11/20/2023,8975,8975,8975
11/21/2023,8825,8825,8825
11/22/2023,8775,8775,8775
11/23/2023,8850,8850,8850
11/24/2023,8925,8925,8925
11/25/2023,,8916.666667,8916.591263
11/26/2023,,8908.333333,8908.276118
11/27/2023,8900,8900,8900
11/28/2023,8875,8875,8875
11/29/2023,8900,8900,8900
11/30/2023,8925,8925,8925
12/1/2023,8925,8925,8925
12/2/2023,,8933.333333,8933.381468
12/3/2023,,8941.666667,8941.728584
12/4/2023,8950,8950,8950
12/5/2023,8950,8950,8950
12/6/2023,8850,8850,8850
12/7/2023,8750,8750,8750
12/8/2023,8800,8800,8800
12/9/2023,,8758.333333,8758.202937
12/10/2023,,8716.666667,8716.664945
12/11/2023,8675,8675,8675
12/12/2023,8700,8700,8700
12/13/2023,8700,8700,8700
12/14/2023,8775,8775,8775
12/15/2023,9125,9125,9125
12/16/2023,,9150,9149.5375
12/17/2023,,9175,9174.66982
12/18/2023,9200,9200,9200
12/19/2023,9125,9125,9125
12/20/2023,9250,9250,9250
12/21/2023,9300,9300,9300
12/22/2023,9275,9275,9275
12/23/2023,,9295,9295.058217
12/24/2023,,9315,9314.990221
12/25/2023,,9335,9334.922225
12/26/2023,,9355,9354.85423
12/27/2023,9375,9375,9375
12/28/2023,9325,9325,9325
12/29/2023,9425,9425,9425
12/30/2023,,9425,9524.410311
12/31/2023,,9425,9623.952671
1/1/2024,,9425,9723.49503
